Broad Jump,Pushing Medicine ball,30m sprint,Box Drill ,4x10m shuttle,Dribble-Shooting,Dribble strong,Dribble weak,First touch(strong)-Shoot(weak),First Touch(weak)-Shoot(strong),Methodology,Name,Age
140,260,6.08,8.29,13.55,1,8.02,8.57,0,1,Team,Lemon 1,9
140,250,6.04,8.09,12.69,3,7.01,7.15,2,0,Team,Lemon 2,9
146,300,5.02,7.57,11.56,4,5,6.33,2,2,Team,Lemon 3,9
132,195,5.88,7.67,12.09,4,4.85,7.27,2,2,Team,Lemon 4,9
140,230,5.81,7.98,12.11,2,7.08,7.77,1,2,Team,Lemon 5,9
150,210,5.92,7.5,12.97,3,4.86,7.65,2,2,Team,Lemon 6,9
120,270,6.01,8.64,13.73,2,7.07,7.15,2,0,Team,Lemon 7,9
143,220,5.97,8.48,12.67,1,6.43,7.08,0,2,Team,Lemon 8,9
137,330,6,7.8,14.12,2,6.47,8.21,1,0,Team,Lemon 9,9
150,280,5.92,7.4,15.73,2,7.07,8.08,1,1,Team,Lemon 10,9
153,295,5.9,8.56,12.18,3,8.2,8.2,2,1,Team,Lemon 11,9
133,200,6.04,8.43,15.87,3,6.6,7.78,1,2,Team,Lemon 12,9
130,180,5.85,7.72,13.8,1,6.31,7.15,1,1,Team,Lemon 13,9
160,230,5.95,8.53,12.71,3,6.3,6.9,2,1,Team,Lemon 14,9
135,310,5.9,8.1,12.26,3,5.42,6.43,1,2,Team,Lemon 15,9
140,240,6.03,9.06,12.6,3,5.78,6.54,0,2,Team,Lemon 16,9
135,270,5.7,8.4,14.03,2,5.47,9.58,1,2,Team,Lemon 17,9
150,370,5.25,7.25,11.84,4,5.1,8.89,2,1,Team,Lemon 18,9
125,235,6.05,8.56,12.4,3,6.69,7.73,1,2,Team,Lemon 19,9
130,290,6.08,8.44,12.44,2,6.95,5.84,1,2,Team,Lemon 20,9
145,380,5.84,8.1,12.13,3,6.77,9.25,1,1,Team,Lemon 21,9
150,275,5.98,8.95,12.5,2,6.53,8.52,1,1,Team,Lemon 22,9
90,200,6.14,10.01,15.21,1,6.64,10.04,0,1,Team,Lemon 23,9
120,220,5.83,8.67,12.27,3,5.38,9,0,2,Team,Lemon 24,9
160,350,5.42,8.55,13.02,2,6.01,7.8,1,2,Team,Lemon 25,9
143,240,5.16,7.45,11.94,4,4.47,7.73,1,2,Team,Lemon 26,9
150,250,5.32,8.75,13.07,2,7.63,7.98,1,2,Team,Lemon 27,9
140,240,5.8,9.09,12.68,2,7.33,9.2,1,2,Team,Lemon 28,9
133,220,6.01,8.15,12.1,3,6.47,9.52,1,1,Team,Lemon 29,9
135,215,5.98,9.22,14.05,2,6.8,8.33,2,1,Team,Lemon 30,9
170,310,6.84,7.4,12.16,4,6.01,7.12,2,2,Team,Lemon 31,10
165,315,5.67,6.63,13.15,3,5.3,5.51,2,1,Team,Lemon 32,10
160,360,6.77,7.12,11.44,3,5.15,5.81,2,1,Team,Lemon 33,10
163,340,6.5,7.18,11.44,3,5.97,6.09,2,1,Team,Lemon 34,10
186,330,6.99,7.05,12.16,3,5.86,6.71,1,2,Team,Lemon 35,10
174,390,6.75,7.18,12.13,4,5.7,8.8,2,2,Team,Lemon 36,10
170,355,5.55,6.65,11.12,3,4.75,6.17,2,1,Team,Lemon 37,10
177,360,7.11,6.85,11.5,1,5.6,5.82,1,0,Team,Lemon 38,10
160,360,5.93,6.78,12.15,3,4.97,7.03,2,1,Team,Lemon 39,10
168,410,6.02,7.09,11.3,2,4.96,5.03,1,1,Team,Lemon 40,10
160,365,6.92,7.93,14.44,3,5.96,5.94,1,2,Team,Lemon 41,10
169,370,5.21,6.53,11.47,3,5.39,6.37,2,1,Team,Lemon 42,10
142,350,5.93,6.84,12.14,3,5.91,6.42,1,0,Team,Lemon 43,10
165,335,6.28,7.02,12.15,2,5.5,6.01,1,1,Team,Lemon 44,10
160,340,6.64,7.15,12.2,2,5.8,7.02,1,1,Team,Lemon 45,10
156,280,5.89,7.58,13.5,2,6,7.12,1,1,Team,Lemon 46,9
195,390,4.8,7.22,11.5,4,5.23,6.12,1,2,Team,Lemon 47,9
160,295,5.65,8.22,14,2,5.92,6.9,1,2,School,Lemon 48,9
160,285,5.67,8.37,14,2,5.75,7.2,1,1,School,Lemon 49,9
174,315,5.9,7.9,12.9,2,5.75,6.78,2,1,School,Lemon 50,9
160,310,6.9,8.53,12.2,2,5.98,7.62,1,1,School,Lemon 51,9
136,215,6.81,9.11,11.9,3,6.01,8,1,2,School,Lemon 52,9
140,240,6,8.75,12.56,1,7.33,7.45,1,1,School,Lemon 53,9
143,245,6.12,7.8,11.9,4,6.18,7.23,2,1,School,Lemon 54,9
120,210,7.02,9.1,13.6,1,7.2,8.72,0,1,School,Lemon 55,9
140,230,5.99,8,14.01,2,5.46,6.91,1,0,School,Lemon 56,9
180,375,5.45,7.77,11.45,3,4.92,5.8,2,2,School,Lemon 57,9
156,265,5.7,9,14.01,4,5.92,7,1,2,School,Lemon 58,9
165,265,6.5,9.45,12,4,6.3,7,1,2,School,Lemon 59,9
136,220,6.7,10.11,12.11,2,5.5,6.25,1,1,School,Lemon 60,9
138,215,6.19,9.96,12.8,1,6,7.43,1,1,School,Lemon 61,9
115,200,7.7,11.01,13.8,1,7.82,9.78,0,1,School,Lemon 62,9
126,205,6.61,9.22,12,2,7.9,10,0,2,School,Lemon 63,9
173,370,5.2,8.01,13,3,6.21,7.3,2,1,School,Lemon 64,9
160,315,5.66,8.3,12.05,2,5.56,6.45,1,1,School,Lemon 65,9
140,235,7.09,7.91,14,2,5.6,6,2,1,School,Lemon 66,9
120,210,7.25,9.12,14.6,2,7.11,8.25,1,0,School,Lemon 67,9
130,225,6,8.98,12.15,3,5.96,7.8,0,2,School,Lemon 68,9
185,385,4.8,7.4,12.2,3,5.6,6.42,1,2,School,Lemon 69,9
175,365,5.2,7.2,13.66,2,4.86,6,1,2,School,Lemon 70,9
140,250,5.9,8.52,13.9,2,4.8,7.12,0,1,School,Lemon 71,9
157,265,5.88,8.25,12.5,2,6.08,7.57,2,1,School,Lemon 72,9
164,335,6.82,6.73,11.8,3,5.95,6.65,1,2,School,Lemon 73,9
150,300,6.2,9.02,12.8,4,7.07,7.15,1,2,School,Lemon 74,9
155,300,5.9,7.98,13.9,4,6.45,7.18,2,1,School,Lemon 75,9
148,300,6.13,8.55,12.02,4,6.47,7.2,2,2,School,Lemon 76,9
139,225,6.2,9.03,12.6,2,7.07,8.09,0,1,School,Lemon 77,9
155,240,6.74,7.85,12.96,3,7.2,7.2,2,1,School,Lemon 78,9
120,220,8,11,13.13,4,6.6,7.78,1,2,School,Lemon 79,9
140,220,5.63,9,12.56,2,6.31,7.15,1,1,School,Lemon 80,9
160,325,6.46,7.8,11.78,2,6.3,6.9,0,2,School,Lemon 81,9
110,195,7.7,10.98,15.5,3,7.2,7.92,0,2,School,Lemon 82,9
148,240,6.12,9.55,11.95,2,6.47,7.2,0,2,School,Lemon 83,9
150,250,6.3,8.3,12,3,5.69,6.7,1,2,School,Lemon 84,9
140,225,6.87,8.25,11.86,2,6.45,6.5,1,1,School,Lemon 85,9
120,205,6.85,10,15.13,1,8.2,9.56,0,1,School,Lemon 86,9
170,380,5.61,8.25,14.6,2,4.79,5.96,2,1,School,Lemon 87,9
156,310,7,8.33,12.56,2,5.9,7.3,1,2,School,Lemon 88,9
156,330,6.89,8.63,12.56,2,5.75,6,1,1,School,Lemon 89,9
110,195,6.9,10.01,14.95,2,8.62,10,1,0,School,Lemon 90,9
140,240,5.5,8,13.23,1,5.92,6.12,1,1,School,Lemon 91,9
150,315,6.19,8.77,12.32,2,6,7.05,0,2,School,Lemon 92,9
150,360,5.89,8.6,11.75,1,5.5,6.5,0,2,School,Lemon 93,9
137,230,7.3,9.6,12,2,6,7.33,1,1,School,Lemon 94,9
145,245,6.6,7.4,11.96,2,5.86,7.03,2,0,School,Lemon 95,9
110,200,10.5,10.29,15,2,8.32,9.66,1,1,School,Lemon 96,9
176,375,5.9,8.01,12.2,2,5.6,6.5,1,1,School,Lemon 97,9
115,220,8.7,10.23,14.8,2,8.58,10.62,1,1,School,Lemon 98,9
135,240,6.4,9.9,12.46,1,6.46,7.12,0,1,School,Lemon 99,9
145,250,6.56,8,11.9,3,7.23,7.25,1,1,School,Lemon 100,9
185,350,5.5,6.7,13.6,4,4.9,6.6,1,2,School,Lemon 101,9
175,340,5.28,7.2,12.1,2,5.6,7.87,1,1,School,Lemon 102,9
